id;codigo_pais;ddd;numero;tipo
1;Factors Uzbekistan Sum Outdoors;39684;plum Tasty wireless;deposit standardization generating
2;Kina back-end Danish Krone;58049;reintermediate executive;azure solid state
3;methodology Fundamental;6734;markets SMS;JBOD Small Soft Keyboard Generic Granite Pizza
4;input overriding Specialist;34761;Nepal;white Borders users
5;deposit vortals Croatian Kuna;15312;withdrawal;Steel homogeneous User-friendly
6;Hat eyeballs Lilangeni;94579;Mauritius robust;stable
7;Tactics Mayotte Borders;60624;synthesize;Small Wooden Salad models Extensions
8;Computers Gloves;7713;Legacy;Intelligent Concrete Pants ADP
9;Pants Towels initiatives;33936;invoice Unbranded Frozen Pizza Savings Account;XML
10;program Legacy;28117;full-range;Valleys Chair
